,City,Country,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,-0.74,-90.35,Hotel Solymar Galapagos
1,Ushuaia,AR,-54.8,-68.3,Wyndham Garden Ushuaia Hotel del Glaciar
2,Manche,FR,49.0,-1.17,Bed and Breakfast petit coin de paradis
3,Codrington,AU,-38.27,141.97,Codrington Gardens Bed And Breakfast
4,Skibbereen,IE,51.55,-9.27,The West Cork Hotel
5,Kapaa,US,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
6,Rikitea,PF,-23.12,-134.97,Pension Maro'i
7,Bredasdorp,ZA,-34.53,20.04,Bredasdorp Country Manor
8,Luganville,VU,-15.53,167.17,Hotel Santo
9,Nome,US,64.5,-165.41,Aurora Inn & Suites
10,Novy Urengoy,RU,66.09,76.68,Hostel Noviy Urengoy na Sovetskom
11,Villa Carlos Paz,AR,-31.42,-64.5,Hotel Villa La Font Resort - Spa
12,Kieta,PG,-6.22,155.63,
13,Busselton,AU,-33.65,115.33,Abbey Beach Resort
14,Meulaboh,ID,4.14,96.13,Hotel Meuligoe
15,Saint-Philippe,RE,-21.36,55.77,Pinpin d'Amour
16,Katsuura,JP,35.13,140.3,鵜原館
17,Thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
18,Provideniya,RU,64.38,-173.3,
19,Takoradze,GH,4.88,-1.76,Best Western Plus Atlantic Hotel
20,San Cristobal,VE,7.77,-72.22,El Sol Posada
21,Severo-Kuril'sk,RU,50.68,156.12,Kak Doma
22,Hobart,AU,-42.88,147.33,Hotel Grand Chancellor Hobart
23,Kahului,US,20.89,-156.47,Maui Beach Hotel
24,Dunedin,NZ,-45.87,170.5,Distinction Dunedin Hotel
25,George Town,MY,5.41,100.34,"Eastern & Oriental Hotel, Penang"
26,Port-Gentil,GA,-0.72,8.78,Residence Ophelia Lodge
27,Cape Town,ZA,-33.93,18.42,"Radisson Blu Hotel Waterfront, Cape Town"
28,Salalah,OM,17.02,54.09,Salalah Gardens Hotel
29,Atuona,PF,-9.8,-139.03,Simplicité Marquises
30,Neryungri,RU,56.67,124.65,Hotel Timpton
31,New Norfolk,AU,-42.78,147.06,Old Colony Inn
32,Albany,US,42.6,-73.97,
33,Hong Kong,HK,22.29,114.16,Hyatt Centric Victoria Harbour Hong Kong
34,Anadyr,RU,64.75,177.48,Chukotka hotel
35,Hofn,IS,64.25,-15.21,Hotel Edda Höfn
36,Faanui,PF,-16.48,-151.75,Oa Oa Lodge
37,Alcanena,PT,39.46,-8.67,
38,Souillac,MU,-20.52,57.52,Shanti Maurice Resort & Spa
39,Shache,CN,38.42,77.24,New Century Hotel
40,Bluff,NZ,-46.6,168.33,Land's End Boutique Hotel
41,Mataura,NZ,-46.19,168.86,Falls Hotel
42,Waipawa,NZ,-41.41,175.52,
43,Cockburn Town,TC,21.46,-71.14,Turks Head Inne
44,Avarua,CK,-21.21,-159.78,The Edgewater Resort and Spa
45,Koslan,RU,63.46,48.9,
46,Hilo,US,19.73,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
47,Butaritari,KI,3.07,172.79,
48,Sola,VU,-13.88,167.55,
49,Port Augusta,AU,-32.5,137.77,Standpipe Golf Motor Inn
50,Hermanus,ZA,-34.42,19.23,138 Marine Beachfront Guesthouse
51,Asău,RO,46.44,26.4,Pensiunea Sophia
52,Ahipara,NZ,-35.17,173.17,Endless Summer Lodge - BBH
53,Lincoln,US,40.8,-96.67,Embassy Suites by Hilton Lincoln
54,San Angelo,US,31.46,-100.44,Pearl on the Concho Historic Hotel
55,Jamestown,US,42.1,-79.24,Chautauqua Harbor Hotel
57,Evensk,RU,61.95,159.23,
58,Adeje,ES,28.12,-16.73,Hotel Best Jacaranda
60,Mar del Plata,AR,-38.0,-57.56,Mérit Mar del Plata Hotel
61,Punta Arenas,CL,-53.15,-70.92,Diego De Almagro Punta Arenas
62,Cayenne,GF,4.93,-52.33,Royal Amazonia
63,Bengkulu,ID,-3.8,102.27,Mercure Bengkulu
64,Kyzyl,RU,51.7,94.45,AZIMUT Hotel Kyzyl
65,Mangai,CD,-4.05,19.53,
66,Ancud,CL,-41.87,-73.82,Hostal Vista Al Mar
67,Columbus,US,39.96,-83.0,Hilton Columbus Downtown
68,Dusetos,LT,55.75,25.85,"Pasartele, kaimo turizmo sodyba"
69,São João da Barra,BR,-21.63,-41.05,Pousada Portobello
70,Lagoa,PT,39.05,-27.98,Casa Das Faias
71,Vestmannaeyjar,IS,63.44,-20.27,Hotel Vestmannaeyjar
72,Bihać,BA,44.82,15.87,Hotel Emporium
73,Port Hardy,CA,50.7,-127.42,Quarter Deck Inn
